melting_point,0-norm,2-norm,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData minimum MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData range Row,MagpieData avg_dev Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData avg_dev Electronegativity,MagpieData minimum NsValence,MagpieData mean NsValence,MagpieData minimum NpValence,MagpieData range NpValence,MagpieData minimum NdValence,MagpieData mean NdValence,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData mode NpUnfilled,MagpieData mean NdUnfilled,MagpieData maximum NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData mode SpaceGroupNumber,compound possible,Yang delta,Yang omega,APE mean,Radii gamma,Total weight,Lambda entropy,Electronegativity delta,Mixing enthalpy,Mean cohesive energy,Interant electrons,Shear modulus local mismatch
39.0,2,0.8246211251235323,31,50,19,34.8,6.079999999999997,74,1.9200000000000017,1,0.3200000000000001,122,139,17,5.440000000000003,1.81,1.96,0.1499999999999999,0.048,2,2.0,1,1,10,10.0,4,5,5,0.0,5,18.8575,33.285,14.427499999999997,4.6168,141,77,79.4,64,False,0.060781476121563,2.2319214858538365,-0.004342849,1.093260836192307,7952.04,-1.126125878,0.0048661800486618,0.6400000000000001,2.8760000000000003,3,3.0448000000000004
47.0,5,0.5450357786420997,48,83,35,71.686,14.776644,70,4.091838,1,0.4401419999999996,139,148,9,2.5377219999999863,1.69,2.33,0.6400000000000001,0.1393290000000002,2,2.0,0,3,10,10.0,0,5,3,0.0,5,19.495,33.285,13.789999999999996,3.7008864000000017,225,213,104.748,12,False,0.0421879178175708,243.230431755578,0.0072427622699144,1.0725549177009213,17798.238980000002,-6.420630838,0.0230795984956606,0.025116,2.23666,8,3.012321236
47.2,5,0.5480875842417889,48,83,35,71.92,14.608799999999995,70,4.0680000000000005,1,0.4352000000000001,139,148,9,2.507200000000004,1.69,2.33,0.6400000000000001,0.140576,2,2.0,0,3,10,10.0,0,5,3,0.0,5,19.495,33.285,13.789999999999996,3.668465000000001,225,213,104.54,12,False,0.0422540945457335,139.19940641568795,0.0069611452893323,1.0725401238432744,17862.995,-6.355088928,0.0230288046915276,0.0435999999999999,2.2359,8,2.975003600000001
54.3,2,0.7362404498531713,49,83,34,61.07,15.5703,75,5.03745,1,0.4579500000000001,142,148,6,2.7476999999999987,1.78,2.02,0.24,0.109908,2,2.0,1,2,10,10.0,3,5,5,0.0,5,24.26,32.95,8.690000000000001,3.9795855000000016,139,127,93.915,139,False,0.0212692844327383,2.7778881442220267,-0.001056446,1.0270779652530737,148.245652,-11.95481583,0.0299914335755903,0.9159,2.3993,4,2.08870995
58.0,4,0.575325994545701,49,83,34,71.72,14.7552,75,3.8514,1,0.4422,139,148,9,2.897999999999996,1.78,2.33,0.55,0.1140119999999999,2,2.0,1,2,10,10.0,3,5,3,0.0,5,24.26,33.285,9.024999999999997,3.3205979999999995,225,213,92.49,12,False,0.0400738112187459,35.02258496414528,0.0105284066244674,1.0726655427990253,17805.3376,-6.421566186,0.0242040661762023,0.1548,2.3396000000000003,8,2.6403318
58.2,4,0.575325994545701,49,83,34,71.72,14.7552,75,3.8514,1,0.4422,139,148,9,2.897999999999996,1.78,2.33,0.55,0.1140119999999999,2,2.0,1,2,10,10.0,3,5,3,0.0,5,24.26,33.285,9.024999999999997,3.3205979999999995,225,213,92.49,12,False,0.0400738112187459,35.02258496414528,0.0105284066244674,1.0726655427990253,17805.3376,-6.421566186,0.0242040661762023,0.1548,2.3396000000000003,8,2.6403318
58.5,4,0.5381431036443746,49,83,34,67.077,16.622225999999998,75,3.916728,1,0.498078,139,148,9,3.2503860000000007,1.78,2.33,0.55,0.12948732,2,2.0,1,2,10,10.0,3,5,3,0.0,5,24.26,33.285,9.024999999999997,3.72994766,225,213,102.569,12,False,0.0400537745452002,29.15676504814675,0.0038569733546037,1.072895804081975,165.21182080000003,-6.772953103,0.0273734474766071,0.1905479999999999,2.4214,8,2.971002354
59.73,4,0.575325994545701,49,83,34,71.72,14.7552,75,3.8514,1,0.4422,139,148,9,2.897999999999996,1.78,2.33,0.55,0.1140120000000001,2,2.0,1,2,10,10.0,3,5,3,0.0,5,24.26,33.285,9.024999999999997,3.3205979999999995,225,213,92.49,12,False,0.0400738112187459,35.022584964145274,0.0105284066244674,1.0726655427990253,17805.3376,-6.421566186,0.0242040661762023,0.1548,2.3396,8,2.6403318
60.2,3,0.6135275054958824,49,83,34,59.94,14.573919999999998,75,4.349056,1,0.4322879999999999,139,148,9,2.9653439999999978,1.78,2.02,0.24,0.1084531199999999,2,2.0,1,2,10,10.0,3,5,5,0.0,5,24.26,33.285,9.024999999999997,4.40658144,141,129,99.26,139,False,0.0207006479497249,11.192528232032954,0.0017100844229159,1.0270947486795896,14533.61504,-20.05285899,0.0310238318804634,0.369088,2.53408,6,3.160080992
60.42,3,0.6815305215849485,49,83,34,61.56622222222223,15.765734320987658,75,4.967937283950617,1,0.4650345679012347,139,148,9,2.926530370370377,1.78,2.02,0.24,0.1133891437037037,2,2.0,1,2,10,10.000000000000002,3,5,5,0.0,5,24.26,33.285,9.024999999999997,4.2823644740740745,141,129,92.41577777777778,139,False,0.021421006650347,4.554112899278859,-0.001963637,1.0270724721234277,13472.03496,-15.58391618,0.030881249666679,0.7483051851851854,2.433257777777777,6,2.559236384296297
